id	isolate	aliases	country	year	serotype	Sp_cgc_1000
765	CHW4	2440081	Australia	2000	19F	
766	1124/98		Norway	1998	23F	
767	263/99		Norway	1999	6	
768	1428/98		Norway	1998	23	
769	967/98		Norway	1998	23F	
770	1445/96		Norway	1996	19	
771	1770/98		Norway	1998	23	
772	1070/97		Norway	1997	19	
773	511/99		Norway	1999	14	
774	1699/99		Norway	1999	6	
775	958/98		Norway	1998	14	
776	1549/99		Norway	1999	33	
777	416/99		Norway	1999	6	
778	708/98		Norway	1998	14	
779	606/97		Norway	1997	9	
780	975/98		Norway	1998	9	
781	1512/99		Norway	1999	19	
782	234/98		Norway	1998	19	
783	624/98		Norway	1998	23	
784	723/98		Norway	1998	19	
785	1208/99		Norway	1999	19	
786	590/97		Norway	1997	19	
787	847/95		Norway	1995	23	
788	1110/98		Norway	1998	14	
789	1141/96		Norway	1996	NT	
790	1297/98		Norway	1998	NT	
791	98/95		Norway	1995	15C	
792	1233/98		Norway	1998	19	
793	452/97		Norway	1997	19	
794	528/96		Norway	1996	14	
795	591/99		Norway	1999	1	
796	662/99		Norway	1999	19	
797	CHW5		Australia	2000		
798	PS1374	4217	Germany	1994	23F	
799	PS2031	4874	Germany	1996	23F	
800	RESP798	13665	Germany	1999	23F	
801	RESP801	13668	Germany	1999	23F	
802	RKI243	243	Germany	1998	23F	
803	PS2260	5103	Germany	1996	23F	
804	RKI425	425	Germany	1999	23F	
805	RKI682	682	Germany	1999	23F	
806	PS275	3118	Germany	1992	23F	
807	RESP95	13060	Germany	1998	23F	
808	76/00		Norway	2000	19F	
809	82/00		Norway	2000	23	
810	107/00		Norway	2000	9	
811	130/00		Norway	2000	NT	
812	284/00		Norway	2000	6	
813	473/00		Norway	2000	3	
814	720/00		Norway	2000	22	
815	951/00		Norway	2000	14	
816	1065/00		Norway	2000	23	
817	1095/00		Norway	2000	19	
818	1421/00		Norway	2000	35	
819	1536/00		Norway	2000	14	
820	1571/00		Norway	2000	21	
821	98S312		Australia	1998	19F	
822	94-2338-19F		USA	1994	19F	
823	N. Carolina 6A-23	97-1177-6A	USA	1997	6A	
824	Utah 35B-24	94-3330-35B	USA	1994	35B	
825	97-1656-14		USA	1997	14	
826	Maryland 6B-17		USA	1998	6B	
827	Tennessee 14-18	4954-98	USA	1998	14	
828	Columbia 5-19	Spn1439-106	USA	1996	5	
829	Poland 6B-20	2708	Poland	1996	6B	
830	31/97		Czech Republic	1997	9V	
831	50/97		Czech Republic	1997	9V	
832	168/97		Czech Republic	1997	9V	
833	322/97		Czech Republic	1997	9V	
834	79/98		Czech Republic	1998	19F	
835	28/97		Czech Republic	1997	9V	
836	99/97		Czech Republic	1997	19A	
837	113/97		Czech Republic	1997	3	
838	100/97		Czech Republic	1997		
839	29/97		Czech Republic	1997	19F	
840	262/97		Czech Republic	1997	6A	
841	193/97		Czech Republic	1997	23F	
842	194/97		Czech Republic	1997	23F	
843	195/97		Czech Republic	1997		
844	38/97		Czech Republic	1997	9V	
845	198/97		Czech Republic	1997	9V	
846	102/97		Czech Republic	1997	9V	
847	254/97		Czech Republic	1997	23F	
848	282/97		Czech Republic	1997	23F	
849	107/97		Czech Republic	1997	23F	
850	212/97		Czech Republic	1997	9V	
851	34/98		Czech Republic	1998	9V	
852	37/98		Czech Republic	1998	9V	
853	9J537-1		Sweden	1995	1	
854	PJ1178-1		Sweden	1997	1	
855	PJ1139-1		Sweden	1997	1	
856	PJ1136-1		Sweden	1997	1	
857	PJ1116-1		Sweden	1997	1	
858	PJ1085-1		Sweden	1997	1	
859	Pj996-1		Sweden	1997	1	
860	PJ961-1		Sweden	1997	1	
861	PJ959-1		Sweden	1997	1	
862	PJ887-1		Sweden	1997	1	
863	PJ883-1		Sweden	1997	1	
864	PJ1160-1		Sweden	1997	1	
865	169/97		Czech Republic	1997	19A	
866	222/97		Czech Republic	1997	19A	
867	Sep-98		Czech Republic	1998	19A	
868	IC208		Iceland	1994	6B	
869	ISR1019		Israel	1997	6B	
870	DCC-Pn1524		Portugal	1998	6B	
871	DCC-Pn1738		Portugal	1998	6B	
872	DCC-Pn1902		Portugal	1998	6B	
873	Ala1		USA	1982	6B	
874	Ala13		USA	1986	6B	
875	Ala27		USA	1987	6B	
876	DCC-Pn168		Portugal	1996	6B	
877	DCC-Pn1508		Portugal	1998	6B	
878	DCC-Pn500		Portugal	1996	6B	
879	Bul21		Bulgaria	1992	6B	
880	Bul78		Bulgaria	1994	6B	
881	DCC-Pn134		Portugal	1996	14	
882	DCC-Pn1698		Portugal	1998	14	
883	DCC-Pn1875		Portugal	1998	14	
884	Arg1255	1255	Argentina	1997	14	
885	SD3		USA	1998	14	
886	TX39		USA	1998	14	
887	DCC-Pn1476	DCC1476	Portugal	1998	15A	
888	DCC-Pn1839		Portugal	1998	15A	
889	SW13		Sweden	1992	15A	
890	Portugal 19F-21	DCC98	Portugal	1996	19F	
891	IC212		Iceland	1994	23F	
892	IC171		Iceland	1993	23F	
893	BR99	St.469/96	Brazil	1996	23F	
894	BR83	St.241/96	Brazil	1996	23F	
895	COL22	INS-22	Colombia	1994	23F	
896	COL303	INS-303	Colombia	1995	23F	
897	DCC-Pn1856		Portugal	1998	23F	
898	Colombia 23F-26	DCC1587	Portugal	1998	23F	
899	DCC-Pn1491		Portugal	1998	19F	
900	DCC-Pn1515		Portugal	1998	19F	
901	DCCPn1937		Portugal	1998	19F	
902	DCC-Pn1731		Portugal	1998	19F	
903	DCC-Pn2043		Portugal	1998	19F	
904	DCC-Pn1360		Portugal	1998	19F	
905	DCC-Pn427		Portugal	1996	19F	
906	OXC-1278-17F		UK	1997	17F	
907	OXC-1417-23F		UK	1997	23F	
908	OXC1433-3		UK	1998	3	
909	OXC-1435-14		UK	1998	14	
910	OXC-1553-38		UK	1998	38	
911	OXC1101-16F		UK	1996	16F	
912	99S263		Australia	1999	19F	
913	98S778		Australia	1998	14	
914	98S791		Australia	1998	14	
915	99S082		Australia	1999	14	
916	99S401		Australia	1999	14	
917	99S238		Australia	1999	23F	
