id	isolate	aliases	country	year	serotype	Sp_cgc_1000
237	M216-6B	643	UK	1997	6B	
238	M217-21	645	UK	1997	21	
239	M218-14	685	UK	1997	14	
240	M219-14	721	UK	1997	14	
241	M220-4	731	UK	1997	4	
242	M221-19F	9705948	Australia	1997	19F	
243	M222-14	9706017	Australia	1997	14	
244	M223-14	9707028	Australia	1997	14	
245	M224-14	9710504	Australia	1997	14	
246	M225-6B	9712547	Australia	1997	6B	
247	M226-6B	9713199	Australia	1997	6B	
248	M227-6B	9716970	Australia	1997	6B	
249	M228-6B	9717483	Australia	1997	6B	
250	M229-14	9709542	Australia	1997	14	
251	M230-19A	9710795	Australia	1997	19A	
252	M231-14	9710765	Australia	1997	14	
253	M232-14	9714153	Australia	1997	14	
254	M233-14	9714914	Australia	1997	14	
255	M234-4	9715206	Australia	1997	4	
256	M235-6B	9716487	Australia	1997	6B	
257	M236-6B	9702105	Australia	1997	6B	
258	M237-14	118504	Australia	1997	14	
259	M238-14	118853	Australia	1997	14	
260	M239-14	114782	Australia	1997	14	
261	M241-18C	800129	The Netherlands	1980	18C	
262	M242-19A	892468	The Netherlands	1989	19A	
263	M243-2	891630	The Netherlands	1989	2	
264	M244-7F	880547	The Netherlands	1988	7F	
265	M245-6A	820492	The Netherlands	1982	6A	
266	M246-8	911085	The Netherlands	1991	8	
267	M247-14	790431	The Netherlands	1979	14	
268	M248-7F	840018	The Netherlands	1984	7F	
269	M249-6	921168	The Netherlands	1992	6	
270	M250-18C	860227	The Netherlands	1986	18C	
271	M251-23	810721	The Netherlands	1981	23	
272	M252-3	750339	The Netherlands	1975	3	
273	M253-18	830466	The Netherlands	1983	18	
274	M254-15B	870741	The Netherlands	1987	15B	
275	M255-19F	890992	The Netherlands	1989	19F	
276	M256-6	760772	The Netherlands	1976	6	
277	M257-33F	820149	The Netherlands	1982	33F	
278	M258-4	780993	The Netherlands	1978	4	
279	M259-6A	851190	The Netherlands	1985	6A	
280	M261-8	760774	The Netherlands	1976	8	
281	M262-14	840380	The Netherlands	1984	14	
282	M263-18	790590	The Netherlands	1979	18	
283	M264-3	840580	The Netherlands	1984	3	
284	M265-7F	871165	The Netherlands	1987	7F	
285	M266-8	830904	The Netherlands	1983	8	
286	M267-14	790228	The Netherlands	1979	14	
287	M268-14	910833	The Netherlands	1991	14	
288	M269-14	801407	The Netherlands	1980	14	
289	M270-8	890279	The Netherlands	1989	8	
290	M271-14	841312	The Netherlands	1984	14	
291	M272-18B	910798	The Netherlands	1991	18B	
292	M273-14	800876	The Netherlands	1980	14	
293	M274-19	871694	The Netherlands	1987	19	
294	M275-4	840929	The Netherlands	1984	4	
295	M276-19F	891308	The Netherlands	1989	19F	
296	M277-14	750051	The Netherlands	1975	14	
297	M278-14	910105	The Netherlands	1991	14	
298	M279-4	780966	The Netherlands	1978	4	
299	M280-19F	E/265	Uruguay	1995	19F	
300	M281-7F	E/278	Uruguay	1995	7F	
301	M282-5	E/304	Uruguay	1995	5	
302	M283-20	E/336	Uruguay	1995	20	
303	M284-7F	E/360	Uruguay	1995	7F	
304	M285-7F	E/416	Uruguay	1996	7F	
305	M286-6B	E/461	Uruguay	1996	6B	
306	M288-14	E/513	Uruguay	1996	14	
307	M289-12F	E/741	Uruguay	1997	12F	
308	M290-3	E/765	Uruguay	1997	3	
309	M291-14	E/468	Uruguay	1996	14	
310	M292-19F	TO3102	Canada	1995	19F	
311	M293-12F	TO3452	Canada	1995	12F	
312	M294-6B	TO3235	Canada	1995	6B	
313	M295-14	TO3083	Canada	1995	14	
314	M296-9V	TO3528	Canada	1996	9V	
315	M297-3	TO3596	Canada	1996	3	
316	M298-6B	TO3210	Canada	1995	6B	
317	M299-19F	TO3080	Canada	1995	19F	
318	M300-3	TO3359	Canada	1995	3	
319	M301-23F	TO3079	Canada	1995	23F	
320	M302-14	TO3209	Canada	1995	14	
321	M303-35B	TO3285	Canada	1995	35B	
322	M304-14	TO3466	Canada	1995	14	
323	M305-19F	TO3072	Canada	1995	19F	
324	M306-NT	TO3623	Canada	1996	NT	
325	273-14	POL273	Poland	1994	14	
326	342-14	POL342	Poland	1994	14	
327	181-9V	POL181	Poland	1994	9V	
328	337-9V	POL337	Poland	1994	9V	
329	269-6B	POL269	Poland	1994	6B	
330	271-6B	POL271	Poland	1994	6B	
331	233-23F	POL233	Poland	1994	23F	
332	234-23F	POL234	Poland	1994	23F	
333	338-23F	POL338	Poland	1994	23F	
334	339-23F	POL339	Poland	1994	23F	
335	341-14	POL341	Poland	1994	14	
336	151-23F	POL151	Poland	1994	23F	
337	178-23F	POL178	Poland	1994	23F	
338	TW1-19F	874	Taiwan	1993	19F	
339	TW2-19F	875	Taiwan	1993	19F	
340	TW3-19F	886	Taiwan	1997	19F	
341	TW4-23F	889	Taiwan	1994	23F	
342	TW17-23F	895	Taiwan	1997	23F	
343	TW12-19F	896	Taiwan	1997	19F	
344	TW13-19F	897	Taiwan	1997	19F	
345	TW14-19F	898	Taiwan	1997	19F	
346	TW15-19F	899	Taiwan	1997	19F	
347	TW16-23F	900	Taiwan	1997	23F	
348	TW29-23F	901	Taiwan	1997	23F	
349	TW28-19F	902	Taiwan	1997	19F	
350	TW18-19F	904	Taiwan	1997	19F	
351	TW19-19F	906	Taiwan	1997	19F	
352	TW20-19F	907	Taiwan	1997	19F	
353	TW21-19F	908	Taiwan	1997	19F	
354	TW22-9V	909	Taiwan	1997	9V	
355	TW23-23F	910	Taiwan	1997	23F	
356	TW24-23F	911	Taiwan	1997	23F	
357	TW25-6B	912	Taiwan	1997	6B	
358	TW27-23F	913	Taiwan	1997	23F	
359	TW26-19F	914	Taiwan	1997	19F	
360	TW11-23F	915	Taiwan	1997	23F	
361	TW5-19F	916	Taiwan	1994	19F	
362	TW6-19F	924	Taiwan	1995	19F	
363	TW7-23F	935	Taiwan	1996	23F	
364	TW8-19F	938	Taiwan	1996	19F	
365	TW9-19F	939	Taiwan	1996	19F	
366	TW10-19F	941	Taiwan	1996	19F	
367	TW39-23F	944	Taiwan	1997	23F	
368	TW30-19F	945	Taiwan	1997	19F	
369	TW31-19F	948	Taiwan	1997	19F	
370	TW50-9V	950	Taiwan	1997	9V	
371	TW40-23F	951	Taiwan	1997	23F	
372	TW47-23F	952	Taiwan	1997	23F	
373	TW32-19F	953	Taiwan	1997	19F	
374	TW41-23F	954	Taiwan	1997	23F	
375	TW51-14	955	Taiwan	1997	14	
376	TW33-19F	956	Taiwan	1997	19F	
377	TW34-19F	957	Taiwan	1997	19F	
378	TW42-23F	958	Taiwan	1997	23F	
379	TW35-19F	959	Taiwan	1997	19F	
380	TW48-23F	960	Taiwan	1997	23F	
381	TW49-23F	961	Taiwan	1997	23F	
382	TW43-23F	962	Taiwan	1997	23F	
383	TW44-23F	963	Taiwan	1997	23F	
384	TW36-19F	964	Taiwan	1997	19F	
385	TW37-19F	965	Taiwan	1997	19F	
386	TW45-23F	967	Taiwan	1997	23F	
387	TW38-19F	968	Taiwan	1997	19F	
388	TW46-23F	969	Taiwan	1997	23F	
389	TW71-19F	TWI1	Taiwan	1993	19F	
390	TW72-23F	TWI6	Taiwan	1993	23F	
391	TW73	TWI7	Taiwan	1993		
392	TW74	TWI8	Taiwan			
393	TW75-23A	TWI10	Taiwan	1994	23A	
394	TW76-35C	TWI11	Taiwan	1994	35C	
395	TW77-23F	TWI12	Taiwan	1995	23F	
396	TW78-19F	TWI13	Taiwan	1996	19F	
397	TW79	TWI14	Taiwan			
398	TW80-19F	TWI15	Taiwan	1996	19F	
399	TW81-23F	TWI17	Taiwan	1997	23F	
400	TW83	TWI19	Taiwan	1997		
401	TW52-23F	TW52	Taiwan	1996	23F	
402	TW53-19F	TW53	Taiwan	1996	19F	
403	TW54-23F	TW54	Taiwan	1996	23F	
404	TW55-19F	TW55	Taiwan	1996	19F	
405	TW56-19F	TW56	Taiwan	1996	19F	
406	TW57-6B	TW57	Taiwan	1996	6B	
407	TW58-19F	TW58	Taiwan	1996	19F	
408	TW59-23F	TW59	Taiwan	1997	23F	
409	TW60-19F	TW60	Taiwan	1997	19F	
410	TW61-23F	TW61	Taiwan	1996	23F	
411	TW62-23F	TW62	Taiwan	1996	23F	
412	TW63-19F	TW63	Taiwan	1996	19F	
413	TW64-19F	TW64	Taiwan	1996	19F	
414	TW65-23F	TW65	Taiwan	1997	23F	
415	TW66-23F	TW66	Taiwan	1997	23F	
416	TW67-23F	TW67	Taiwan	1997	23F	
417	TW68-23F	TW68	Taiwan	1996	23F	
418	TW69-23F	TW69	Taiwan	1997	23F	
419	TW70-23F	TW70	Taiwan	1996	23F	
420	TW82-14	TW82	Taiwan	1997	14	
421	M310-33F	MA971	Spain	1997	33F	
422	M311-19F	MA974	Spain	1997	19F	
423	M312-6A	MA975	Spain	1997	6A	
424	M313-4	MA976	Spain	1997	4	
425	M314-3	MA977	Spain	1997	3	
426	M316-18C	MA979	Spain	1997	18C	
427	M317-16F	MA9710	Spain	1997	16F	
428	M318-19F	MA9711	Spain	1997	19F	
429	M319-18A	MA9712	Spain	1997	18A	
430	M320-6B	MA9714	Spain	1997	6B	
431	M321-6B	MA9716	Spain	1997	6B	
432	M322-14	MA9717	Spain	1997	14	
433	M323-15A	MA9718	Spain	1997	15A	
434	M324-12F	MA9719	Spain	1997	12F	
435	M325-14	MA9720	Spain	1997	14	
436	M326-18C	MA9721	Spain	1997	18C	
437	M327-19F	MA9723	Spain	1997	19F	
438	M328-12F	MA9724	Spain	1997	12F	
439	M329-19F	MA9725	Spain	1997	19F	
440	M330-18C	MA9726	Spain	1997	18C	
441	M331-18C	MA9727	Spain	1997	18C	
442	M332-11A	MA9728	Spain	1997	11A	
443	M333-19A	MA9729	Spain	1997	19A	
444	M334-18C	MA9730	Spain	1997	18C	
445	M335-20	MA9731	Spain	1997	20	
446	M336-6B	MA9732	Spain	1997	6B	
447	M337-6B	MA9733	Spain	1997	6B	
448	M338-15B	MA9734	Spain	1997	15B	
449	M339-14	MA9735	Spain	1997	14	
450	M340-4	MA9736	Spain	1997	4	
451	M341-3	MA9737	Spain	1997	3	
452	M342-4	MA9738	Spain	1997	4	
453	M343-9N	MA9739	Spain	1997	9N	
454	M344-10A	MA9740	Spain	1997	10A	
455	M345-18C	MA9741	Spain	1997	18C	
456	M346-19A	MA9742	Spain	1997	19A	
457	M347-6B	MA9743	Spain	1997	6B	
458	M348-6B	MA9744	Spain	1997	6B	
459	M349-14	MA9745	Spain	1997	14	
460	M350-14	MA9747	Spain	1997	14	
461	M351-19F	MA9748	Spain	1997	19F	
462	M352-16F	MA9749	Spain	1997	16F	
463	M353-11A	MA9750	Spain	1997	11A	
464	M354-11A	MA9751	Spain	1997	11A	
465	M355-24F	MA9752	Spain	1997	24F	
466	M356-3	MA9753	Spain	1997	3	
467	M357-9V	MA9754	Spain	1997	9V	
468	M358-28A	MA9755	Spain	1997	28A	
469	M359-14	MA9756	Spain	1997	14	
470	M360-15A	MA9757	Spain	1997	15A	
471	M361-23A	MA9758	Spain	1997	23A	
472	M362-15B	MA9759	Spain	1997	15B	
473	M430-7F	1034 (CSF-29)	UK	1998	7F	
474	M431-10A	1040 (CSF-30)	UK	1998	10A	
475	CS109-23F	CS109	USA	1991	23F	
476	GM4-23F	GM4	Spain	1988	23F	
477	GM28-23F	GM28	Spain	1988	23F	
478	GM54-23F	GM54	Spain	1988	23F	
479	GM116-23F	GM116	Spain	1989	23F	
